_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,4,1125,Strict,11-02-2019 05:00,23-02-2016 05:00,28-01-2019 05:00,4,2,2,24,2,298,600,180,50,2,50,Brazil,BR,-22.98005168,-43.19984555,2537111,TRUE,Brazil,Barbara,92,13,24,174,54,84
10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1,1125,flexible,07-03-2019 05:00,24-01-2016 05:00,16-02-2016 05:00,2,1,1,4,2,36,0,0,20,2,52,Australia,AU,-33.79629,151.26969,52453573,TRUE,Australia,Isaac,0,1,0,0,0,0
10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,1,1125,moderate,07-03-2019 05:00,23-01-2016 05:00,06-01-2019 05:00,2,1,1,61,2,117,0,0,20,1,57,Australia,AU,-33.71472,151.29792,634664,FALSE,Australia,Tracy,100,1,0,26,0,25
10215858,Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1,500,Strict,11-03-2019 04:00,13-07-2016 04:00,06-11-2018 05:00,2,1,1,9,2,330,0,0,0,1,23,Hong Kong,HK,22.31655,114.17034,52473150,TRUE,Hong Kong,Danny,97,29,20,135,50,80
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,Real Bed,2,30,flexible,11-02-2019 05:00,13-07-2016 04:00,15-06-2018 04:00,6,3,3,0,3,746,0,373,187,4,0,Brazil,BR,-23.00871078,-43.45296045,31553171,TRUE,Brazil,José Augusto,0,1,0,0,0,0
1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,7,7,Strict,06-03-2019 05:00,15-06-2018 04:00,15-06-2018 04:00,6,2,3,1,2,135,200,0,0,1,58,United States,US,19.5702,-155.96445,3393610,FALSE,United States,Daniel,0,1,0,196,13,43
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Individual Apartments,Entire home/apt,Real Bed,1,1125,Strict,06-03-2019 05:00,20-02-2016 05:00,20-02-2016 05:00,4,1,2,1,1,499,0,99,0,1,58,United States,US,20.96996,-156.68012,12057949,TRUE,United States,Holly,91,472,30,365,60,90
10228731,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,15,flexible,11-02-2019 05:00,26-05-2016 04:00,26-05-2016 04:00,1,1,1,1,1,149,0,30,0,1,58,Brazil,BR,-22.93620325,-43.24742191,12673423,FALSE,Brazil,Gilberto,0,2,28,178,58,88
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1,500,Strict,11-03-2019 04:00,28-08-2016 04:00,12-07-2018 04:00,3,2,2,22,1,400,0,0,0,1,37,Hong Kong,HK,22.31723,114.17073,52473150,TRUE,Hong Kong,Danny,97,29,30,145,60,90
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,Real Bed,1,1125,moderate,11-03-2019 04:00,29-07-2016 04:00,18-02-2019 05:00,2,1,1,162,1,487,0,0,0,1,54,Hong Kong,HK,22.27671,113.92823,52491634,FALSE,Hong Kong,Ricky,100,5,18,339,41,67
